,place_id,location,dataset
3130,road_40,"{'type': 'LineString', 'coordinates': [[-9.148059, 38.722461], [-9.149432, 38.721723]]}",waze
3162,road_41,"{'type': 'LineString', 'coordinates': [[-9.140571, 38.721214], [-9.140582, 38.721022], [-9.140201, 38.720313], [-9.139907, 38.7204], [-9.13982, 38.720442], [-9.13976, 38.720534], [-9.139639, 38.720891], [-9.13951, 38.721347], [-9.139406, 38.722128], [-9.139317, 38.722283]]}",waze
3233,road_42,"{'type': 'LineString', 'coordinates': [[-9.149432, 38.721723], [-9.149673, 38.721975], [-9.150041, 38.72239]]}",waze
3286,road_43,"{'type': 'LineString', 'coordinates': [[-9.142696, 38.732564], [-9.142872, 38.732661], [-9.142692, 38.732375], [-9.141381, 38.731641]]}",waze
3825,road_44,"{'type': 'LineString', 'coordinates': [[-9.152463, 38.716952], [-9.152055, 38.717258], [-9.151466, 38.717726]]}",waze
3826,road_45,"{'type': 'LineString', 'coordinates': [[-9.147955, 38.72818], [-9.147994, 38.728229], [-9.148259, 38.728535], [-9.14827, 38.728549], [-9.148543, 38.729037], [-9.1487, 38.729382], [-9.1487, 38.729545]]}",waze
3874,road_46,"{'type': 'LineString', 'coordinates': [[-9.150744, 38.719858], [-9.152436, 38.71835]]}",waze
3940,road_47,"{'type': 'LineString', 'coordinates': [[-9.140708, 38.731681], [-9.140465, 38.731693], [-9.139612, 38.731627], [-9.139166, 38.73159], [-9.138286, 38.731517], [-9.137649, 38.731463], [-9.13694, 38.7314], [-9.135326, 38.731259]]}",waze
4745,road_48,"{'type': 'LineString', 'coordinates': [[-9.157102, 38.7231], [-9.156933, 38.723404], [-9.156132, 38.724187], [-9.155786, 38.724509]]}",waze
4783,road_49,"{'type': 'LineString', 'coordinates': [[-9.14929, 38.7228], [-9.150437, 38.724104]]}",waze
4785,road_50,"{'type': 'LineString', 'coordinates': [[-9.14441, 38.731646], [-9.142725, 38.732292], [-9.142692, 38.732375]]}",waze
4885,road_51,"{'type': 'LineString', 'coordinates': [[-9.142421, 38.73906], [-9.142149, 38.737762], [-9.141874, 38.736537], [-9.141605, 38.735183]]}",waze
7304,road_52,"{'type': 'LineString', 'coordinates': [[-9.150706, 38.732273], [-9.149686, 38.731896], [-9.14868, 38.731527], [-9.147731, 38.731177]]}",waze
8268,road_53,"{'type': 'LineString', 'coordinates': [[-9.147163, 38.726294], [-9.14694, 38.725746], [-9.146787, 38.725492], [-9.146105, 38.724693]]}",waze
9354,road_54,"{'type': 'LineString', 'coordinates': [[-9.15923, 38.719757], [-9.159495, 38.719764], [-9.161284, 38.72021]]}",waze
9537,road_55,"{'type': 'LineString', 'coordinates': [[-9.154385, 38.721918], [-9.154299, 38.721858], [-9.154225, 38.721027], [-9.15419, 38.720308]]}",waze
9927,road_56,"{'type': 'LineString', 'coordinates': [[-9.142075, 38.720377], [-9.14197, 38.720011], [-9.142007, 38.71988], [-9.142967, 38.71905]]}",waze
12495,road_57,"{'type': 'LineString', 'coordinates': [[-9.1434, 38.727754], [-9.143537, 38.72771], [-9.143651, 38.72764], [-9.144046, 38.727324], [-9.144643, 38.726855], [-9.145311, 38.726347], [-9.14595, 38.725856], [-9.146065, 38.725703], [-9.146089, 38.725593], [-9.146105, 38.724693]]}",waze
12496,road_58,"{'type': 'LineString', 'coordinates': [[-9.141605, 38.735183], [-9.141429, 38.734293], [-9.14141, 38.73421], [-9.141147, 38.732963], [-9.141011, 38.732313], [-9.140895, 38.731792]]}",waze
12586,road_59,"{'type': 'LineString', 'coordinates': [[-9.139558, 38.730733], [-9.13822, 38.730546], [-9.137629, 38.730564]]}",waze
13168,road_60,"{'type': 'LineString', 'coordinates': [[-9.155875, 38.724864], [-9.153465, 38.725007], [-9.151196, 38.725124]]}",waze
13335,road_61,"{'type': 'LineString', 'coordinates': [[-9.1584, 38.718249], [-9.158519, 38.718162], [-9.158995, 38.71782], [-9.159457, 38.717551], [-9.160453, 38.717158], [-9.161009, 38.716824], [-9.161298, 38.716588], [-9.161475, 38.716534]]}",waze
